Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"Fadli Agus Triansyah, Ilham Muhammad, Andi Rabuandika, Kartika Dwi Pratiwi Siregar, Nurhuda Teapon, Mohammad Syahru Assabana","Bibliometric Analysis: Artificial Intelligence (AI) in High School Education",2023,"Jurnal Imiah Pendidikan dan Pembelajaran","","https://www.semanticscholar.org/paper/084ac517a818b245e84a7b03488c94dffa3c02a5","",8,"2025-02-19 09:41:39","JournalArticle","10.23887/jipp.v7i1.59718","1858-4543","",,,,,23,11.50,4,6,2,"One of the technologies that can be used in education is Artificial Intelligence (AI). Artificial intelligence (AI) is the ability of machines or computer programs to imitate or perform tasks that normally require human intelligence, such as decision-making, speech or image recognition, and problem-solving. The purpose of this research is to analyze publications related to Artificial Intelligence (AI) in Middle Schools and to describe the characteristics of this research. The method used is descriptive bibliometric analysis. The Scopus database is used to obtain the necessary data. The research results show that publications have increased from 9 in 2021 to 20 in 2020. Publications in 2010 have been cited more than any other year. China is the most influential country in this field. Most publications on Artificial Intelligence research applied to high school students are at the Q1 rank, namely 25 journals. New themes in this field are machine learning and deep learning. Artificial Intelligence has not been directly connected with some third clusters keywords such as Artificial Intelligence Literacy, computer science education, and conception.","https://ejournal.undiksha.ac.id/index.php/JIPP/article/download/59718/25979",""
14,"Kate Pearce, Sharifa Alghowinem, C. Breazeal","Build-a-Bot: Teaching Conversational AI Using a Transformer-Based Intent Recognition and Question Answering Architecture",2022,"AAAI Conference on Artificial Intelligence","","https://www.semanticscholar.org/paper/41d5bf3f5d074e07db7cf7e46009ed7dc9b26f3f","",9,"2025-02-19 09:41:39","JournalArticle","10.48550/arXiv.2212.07542","","",,,16025,16032,14,4.67,5,3,3,"As artificial intelligence (AI) becomes a prominent part of modern life, AI literacy is becoming important for all citizens, not just those in technology careers. Previous research in AI education materials has largely focused on the introduction of terminology as well as AI use cases and ethics, but few allow students to learn by creating their own machine learning models. Therefore, there is a need for enriching AI educational tools with more adaptable and flexible platforms for interested educators with any level of technical experience to utilize within their teaching material. As such, we propose the development of an open-source tool (Build-A-Bot) for students and teachers to not only create their own transformer-based chatbots based on their own course material but also learn the fundamentals of AI through the model creation process. The primary concern of this paper is the creation of an interface for students to learn the principles of artificial intelligence by using a natural language pipeline to train a customized model to answer questions based on their own school curriculums. The model uses contexts given by their instructor, such as chapters of a textbook, to answer questions and is deployed on an interactive chatbot/voice agent. The pipeline teaches students data collection, data augmentation, intent recognition, and question answering by having them work through each of these processes while creating their AI agent, diverging from previous chatbot work where students and teachers use the bots as black-boxes with no abilities for customization or the bots lack AI capabilities, with the majority of dialogue scripts being rule-based. In addition, our tool is designed to make each step of this pipeline intuitive for students at a middle-school level. Further work primarily lies in providing our tool to schools and seeking student and teacher evaluations.","http://arxiv.org/pdf/2212.07542",""
6,"Yasmine Belghith, Atefeh Mahdavi Goloujeh, Brian Magerko, D. Long, Tom Mcklin, Jessica Roberts","Testing, Socializing, Exploring: Characterizing Middle Schoolers’ Approaches to and Conceptions of ChatGPT",2024,"Proceedings of the CHI Conference on Human Factors in Computing Systems","","https://www.semanticscholar.org/paper/53474abb9fac51f8293d8df844c143416cf640f0","",12,"2025-02-19 09:41:39","JournalArticle","10.1145/3613904.3642332","","",,,,,6,6.00,1,6,1,"As generative AI rapidly enters everyday life, educational interventions for teaching about AI need to cater to how young people, in particular middle schoolers who are at a critical age for reasoning skills and identity formation, conceptualize and interact with AI. We conducted nine focus groups with 24 middle school students to elicit their interests, conceptions of, and approaches to a popular generative AI tool, ChatGPT. We highlight a) personally and culturally-relevant topics to this population, b) three distinct approaches in students’ open-ended interactions with ChatGPT: AI testing-oriented, AI socializing-oriented, and content exploring-oriented, and 3) an improved understanding of youths’ conceptions and misconceptions of generative AI. While misconceptions highlight gaps in understanding what generative AI is and how it works, most learners show interest in learning about what AI is and what it can do. We discuss the implications of these conceptions for designing AI literacy interventions in museums.","https://dl.acm.org/doi/pdf/10.1145/3613904.3642332",""
6,"Jung-In Choi, Eunja Yang, Eun-Hee Goo","The Effects of an Ethics Education Program on Artificial Intelligence among Middle School Students: Analysis of Perception and Attitude Changes",2024,"Applied Sciences","","https://www.semanticscholar.org/paper/2632a3877612271accf1970e617abd368e96b187","",13,"2025-02-19 09:41:39","JournalArticle","10.3390/app14041588","2076-3417","",,,,,6,6.00,2,3,1,"Artificial intelligence (AI) technology has brought convenience to human lives, but its pervasive impact extends beyond individuals, affecting society as a whole. Consequently, the necessity for an AI ethics education program has become increasingly apparent. This study aims to investigate the influence of an experimental research study that developed and implemented an AI ethics education program for learners’ ethical awareness and attitude towards AI. The research methodology involved validating a model of the AI ethics education program by applying it to a group of 10 domain experts. Additionally, pre-test and post-test designs were employed with 17 middle school students as the experimental group. The same assessment was administered before and after the implementation of the AI ethics education program, and the data were analyzed using paired-sample t-tests. The findings of this study are as follows: Firstly, an AI ethics education program model was developed, incorporating key competencies such as AI literacy, critical thinking skills in AI, and AI problem-solving skills, all within the context of AI ethics. The implementation of this model was effective in the educational setting. Secondly, significant improvements were observed in the ethical awareness of middle school students across all domains after participating in the program. Thirdly, the attitudes of middle school students towards AI exhibited significant enhancements across all domains. These findings contribute to the broader field of AI ethics education by highlighting the importance of ethical awareness in AI and fostering favorable attitudes towards AI. The implications of this study are significant for the field of AI education.","https://www.mdpi.com/2076-3417/14/4/1588/pdf?version=1708324162",""
4,"Prerna Ravi, Annalisa Broski, Glenda Stump, Hal Abelson, Eric Klopfer, Cynthia Breazeal","Understanding Teacher Perspectives and Experiences after Deployment of AI Literacy Curriculum in Middle-school Classrooms",2023,"ArXiv","","https://www.semanticscholar.org/paper/96f322ee4260d782e47904d57418167fce67da45","",14,"2025-02-19 09:41:39","JournalArticle","10.21125/iceri.2023.1716","2340-1095","",,,,,4,2.00,1,6,2,"Artificial Intelligence (AI) and its associated applications are ubiquitous in today's world, making it imperative that students and their teachers understand how it works and the ramifications arising from its usage. In this study, we investigate the experiences of seven teachers following their implementation of modules from the MIT RAICA (Responsible AI for Computational Action) curriculum. Through semi-structured interviews, we investigated their instructional strategies as they engaged with the AI curriculum in their classroom, how their teaching and learning beliefs about AI evolved with the curriculum as well as how those beliefs impacted their implementation of the curriculum. Our analysis suggests that the AI modules not only expanded our teachers' knowledge in the field, but also prompted them to recognize its daily applications and their ethical and societal implications, so that they could better engage with the content they deliver to students. Teachers were able to leverage their own interdisciplinary backgrounds to creatively introduce foundational AI topics to students to maximize engagement and playful learning. Our teachers advocated their need for better external support when navigating technological resources, additional time for preparation given the novelty of the curriculum, more flexibility within curriculum timelines, and additional accommodations for students of determination. Our findings provide valuable insights for enhancing future iterations of AI literacy curricula and teacher professional development (PD) resources.","https://arxiv.org/pdf/2312.04839",""
4,"Xinyu Wang, Xiaomei Li, Jianyong Huang","Junior High School Artificial Intelligence Literacy: Connotation, Evaluation and Promotion Strategy",2023,"Open Journal of Social Sciences","","https://www.semanticscholar.org/paper/670823d973b810e2b9a46b60b90237a568cd6729","",15,"2025-02-19 09:41:39","JournalArticle","10.4236/jss.2023.115004","2327-5952","",,,,,4,2.00,1,3,2,"","http://www.scirp.org/journal/PaperDownload.aspx?paperID=124826",""
4,"Benjamin Walsh, Safinah Ali, Francisco Castro, Kayla DesPortes, Daniella DiPaola, Irene A. Lee, W. Payne, Scott Sieke, Helen Zhang","Making Art with and about Artificial Intelligence: Three Approaches to Teaching AI and AI Ethics to Middle and High School Students",2022,"Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V. 2","","https://www.semanticscholar.org/paper/29bda963eb61bbf7d62624191088842d4917ea94","",16,"2025-02-19 09:41:39","JournalArticle","10.1145/3478432.3499157","","",,,,,4,1.33,0,9,3,"In this hands-on workshop participants will experience the curricula from three NSF funded projects, which engage youth in creating art with and about AI technologies while exploring related ethical concerns. danceON is a web-based creative coding environment that engages learners in creating multimedia dance performances. Besides writing reactive code that generates animations to augment dance performances, students also use the system to explore the boundaries and biases of AI. DAILy is a curriculum focused on developing AI literacy among middle school students through the integration of technical concepts and processes, ethical and societal implications, and career futures in AI. Participants will be focusing on the AI + art modules of DAILy. Imagine AI develops project-based curricula to support youth in exploring critical ethical issues related to AI. Students read short stories featuring youth at the center of AI ethical dilemmas, build and manipulate AI systems, and create digital media to express ethical stances. Participants will leave the workshop with multiple AI teaching strategies that blend technical learning with social purpose and creative expression.","",""
3,"King Woon Yau, C. Chai, Thomas K. F. Chiu, Helen M. Meng, I. King, S. Wong, Chandni Saxena, Y. Yam","Developing an AI literacy test for junior secondary students: The first stage",2022,"2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","","https://www.semanticscholar.org/paper/f6e390211c9fd291c8d97127745b86c020d6ca23","",17,"2025-02-19 09:41:39","JournalArticle","10.1109/TALE54877.2022.00018","","",,,59,64,3,1.00,0,8,3,"Artificial Intelligence (AI) education for K-12 is increasingly important as the emerging AI technologies are pervasively infused into human daily lives. Eleven countries have endorsed and implemented the AI curricula at K-12 levels [1]. The ""Five Big Ideas"" about AI, as proposed by the Association for the Advancement of Artificial Intelligence (AAAI) and the Computer Science Teacher Association (CSTA) have emerged to form the core components of K-12 AI education [2], [3]. However, the assessment of students’ learning in AI education for K-12 is still in its initial stage. Surveys and interviews are the major assessing tools based on students’ self- perceptions. Standardized tests on students’ AI literacy are still rare. This paper focuses on the first stage of an AI literacy test based on the Five Big Ideas for Grade 7 to Grade 9 students. The test aims to measure the changes of students’ AI literacy before and after attending a one-year AI course. The preliminary findings show the students have increased in their AI literacy after attending the course. The test can provide insights for understanding students’ competencies and needs in AI literacy and improving the curriculum guidelines for students’ effective learning.","",""
3,"Helen Zhang, Anthony Perry, Irene Lee","Developing and Validating the Artificial Intelligence Literacy Concept Inventory: an Instrument to Assess Artificial Intelligence Literacy among Middle School Students",2024,"International Journal of Artificial Intelligence in Education","","https://www.semanticscholar.org/paper/2ce54ef200d816c1c776b0bdde2ce91414a524e7","",20,"2025-02-19 09:41:39","JournalArticle","10.1007/s40593-024-00398-x","1560-4292","",,,,,3,3.00,1,3,1,"","",""
1,"Ying-Jui Tseng, Gautam Yadav","ActiveAI: Introducing AI Literacy for Middle School Learners with Goal-based Scenario Learning",2023,"ArXiv","","https://www.semanticscholar.org/paper/d61157dd7dfa511f8ea59f0a23bbf2b6054ae5c9","",22,"2025-02-19 09:41:39","JournalArticle","10.48550/arXiv.2309.12337","2331-8422","",,,,,1,0.50,1,2,2,"The ActiveAI project addresses key challenges in AI education for grades 7-9 students by providing an engaging AI literacy learning experience based on the AI4K12 knowledge framework. Utilizing learning science mechanisms such as goal-based scenarios, immediate feedback, project-based learning, and intelligent agents, the app incorporates a variety of learner inputs like sliders, steppers, and collectors to enhance understanding. In these courses, students work on real-world scenarios like analyzing sentiment in social media comments. This helps them learn to effectively engage with AI systems and develop their ability to evaluate AI-generated output. The Learning Engineering Process (LEP) guided the project's creation and data instrumentation, focusing on design and impact. The project is currently in the implementation stage, leveraging the intelligent tutor design principles for app development. The extended abstract presents the foundational design and development, with further evaluation and research to be conducted in the future.","https://arxiv.org/pdf/2309.12337",""
1,"Helen Zhang, Irene Lee, Katherine S. Moore","An Effectiveness Study of Teacher-Led AI Literacy Curriculum in K-12 Classrooms",2024,"AAAI Conference on Artificial Intelligence","","https://www.semanticscholar.org/paper/acabd657d7d23b5dc95f5657b65582b378bfe9c8","",23,"2025-02-19 09:41:39","JournalArticle","10.1609/aaai.v38i21.30380","","",,,23318,23325,1,1.00,0,3,1,"Artificial intelligence (AI) has rapidly pervaded and reshaped almost all walks of life, but efforts to promote AI literacy in K-12 schools remain limited. There is a knowledge gap in how to prepare teachers to teach AI literacy in inclusive classrooms and how teacher-led classroom implementations can impact students. This paper reports a comparison study to investigate the effectiveness of an AI literacy curriculum when taught by classroom teachers. The experimental group included 89 middle school students who learned an AI literacy curriculum during regular school hours. The comparison group consisted of 69 students who did not learn the curriculum. Both groups completed the same pre and post-test. The results show that students in the experimental group developed a deeper understanding of AI concepts and more positive attitudes toward AI and its impact on future careers after the curriculum than those in the comparison group. This shows that the teacher-led classroom implementation successfully equipped students with a conceptual understanding of AI. Students achieved significant gains in recognizing how AI is relevant to their lives and felt empowered to thrive in the age of AI. Overall this study confirms the potential of preparing K-12 classroom teachers to offer AI education in classrooms in order to reach learners of diverse backgrounds and broaden participation in AI literacy education among young learners.","https://ojs.aaai.org/index.php/AAAI/article/download/30380/32443",""
0,"Daniella DiPaola, Marc Aidinoff, Angela Marzilli, Ethan Berman, Michael Champigny, Nate Gundy, Sarah Yezzi, Cynthia Breazeal","AI literacy as civic literacy: A case study of the ""AI and human rights"" curriculum for middle school students",2024,"First Monday","","https://www.semanticscholar.org/paper/dfce19f528ebd5a9d9c7526cc26573c9f201ee2c","",25,"2025-02-19 09:41:39","JournalArticle","10.5210/fm.v29i12.13869","1396-0458","",29,,,,0,0.00,0,8,1,"While the younger generation immerses itself in AI technologies, governmental bodies are at the initial stages of investigating the technology’s implications on our rights and how it will be best regulated. There is an opportunity to complement AI education with civic understanding. This work introduces the “AI and human rights” curriculum, which consists of seven lessons on human rights, how technology shapes our rights, and the Blueprint for an AI Bill of Rights. We summarize the experience of 50 middle school students who participated in a rights-based AI legislative simulation. Lastly, we will provide recommendations for how to engage youth in AI and human rights topics. We aim to share this work to raise awareness about the significance of AI literacy for youth citizenship while providing valuable guidance to educators and policy-makers seeking to implement similar initiatives.","",""
0,"Hyunjun Kim, Young Min Kim","Development and effectiveness analysis of middle school invention education program using AI: Focusing on Chat GPT",2024,"Korean Technology Education Association","","https://www.semanticscholar.org/paper/d7767d3d7497b5573e4a83ca6669e981b9394a25","",26,"2025-02-19 09:41:39","JournalArticle","10.34138/kjte.2024.24.1.131","1598-0839","",,,,,0,0.00,0,2,1,"The purpose of this study is to develop and apply a middle school invention education program using Chat GPT, an interactive AI. To this end, we developed and applied an invention education program using Chat GPT, an interactive AI targeting middle school students, and compared and analyzed it with existing invention education programs. The conclusions of this study are as follows. First, we developed and applied an invention education program using AI with high validity targeting middle school students. Second, compared to existing invention education, the group that applied AI-based invention education used more diverse thinking techniques and came up with more diverse invention ideas. Third, the change in attitude toward invention improved in all groups, and the interest attitude and practical attitude factors improved more highly in the AI-based invention education group. Fourth, in the experimental group that applied the AI-based invention education program, students' artificial intelligence literacy improved. Fifth, in an environment of educational paradigm change that emphasizes digital literacy and AI, we were able to present a practical AI-utilized invention education program suitable for middle school settings.","",""
0,"Chang-Kwon Lee, Ha-Eun Noh, Min-Jung Kim","A Development study of an AI Convergence Instructional Model based on Creative Problem Solving(CPS) model for Problem Formulation Competency",2024,"Korean Society for Creativity Education","","https://www.semanticscholar.org/paper/a269b56b74316d921bd9f1d505039250a7a6461c","",27,"2025-02-19 09:41:39","JournalArticle","10.36358/jce.2024.24.2.17","1976-944X","",,,,,0,0.00,0,3,1,"The purpose of this study is to develop an AI Convergence instructional model to enhance problem formulation competency. To achieve this, we refer to the CT-CPS model developed for SW convergence education, based on the Creative Problem Solving (CPS) model. Additionally, research on problem discovery and understanding, Initial teaching models, design principles, and guidelines were developed by referring to studies on artificial intelligence convergence education. To validate the developed model, two rounds of expert validation were conducted with three experts in educational technology and AI-integrated education. Additionally, a class was conducted with six middle school students from a gifted education institute, where problems, solvable through a regression analysis model of supervised learning, were explored, and their responses were evaluated. The results indicate that the model can enhance problem formulation competency, AI literacy, and creative thinking skills, while also fostering knowledge in mathematics and information. The significance of this model lies in its ability to systematically design AI convergence courses for improving problem formulation competency.","",""
0,"You Jin Jung, Kyung Won Lee","Development of a Home Economics Education Program for the Consumer Life Area to Enhance Artificial Intelligence Literacy in Middle School Students",2024,"Human Ecology Research","","https://www.semanticscholar.org/paper/8940d4a09a1fcf63c8b9854d07d47b69354ee8f5","",28,"2025-02-19 09:41:39","JournalArticle","10.6115/her.2024.036","","",,,,,0,0.00,0,2,1,"This study aims to develop and validate a home economics education program focused on the consumer life area to enhance artificial intelligence (AI) literacy. To achieve this objective, a 10-session AI-consumer life integration education program was developed by analyzing literature on AI Literacy, AI curriculum, consumer education, and the home economics curriculum for the middle school consumer life area. The program’s validity was assessed by nine teachers using a four-point Likert scale. The average scores for each item and the content validity index (CVI) were calculated. Based on expert feedback, the program was revised and improved accordingly. The expert validity assessment of the lesson plans, teaching materials and learning resources resulted in an average score of 3.78 for all items and an average CVI of 0.96. For the overall program, the expert validity assessment yielded an average score of 3.72 for all items and an average CVI of 0.97. Since the content validity index for all questions was above 0.78, the program demonstrated high validity across achievement standards integration, learning objectives, content and teaching methods, motivation, and volume areas. This confirms its effectiveness as an educational program for enhancing AI literacy. This study is significant in terms of defining and identifying the components of AI literacy, developing an AI-integrated program encompassing the entire consumer life area and confirming the suitability of the home economics curriculum for enhancing digital consumer competencies and promoting sustainable consumption. Additionally, it highlights the potential to integrate AI into the home economics and consumer life area.","http://her.re.kr/upload/pdf/her-62-3-517.pdf",""
0,"Seowon Choi, H. Song, J. Kang, Heewon Lee, A. Hong","THE EFFECTS OF AI-ENHANCED ENGLISH PROJECT-BASED LEARNING ON MIDDLE SCHOOL STUDENTS' SPEAKING PERFORMANCE, AI LITERACY, AND SELF-EFFICACY",2024,"ICERI Proceedings","","https://www.semanticscholar.org/paper/889edd82278120a9d9624697c981be7b2b58ee81","",29,"2025-02-19 09:41:39","JournalArticle","10.21125/iceri.2024.2288","2340-1095","",,,,,0,0.00,0,5,1,"","",""
0,"Shih-Hua Huang, Ting-Chia Hsu","Learning Effectiveness and Reflections on AI Literacy in Junior High School Students with Game-Based Learning and Problem-Based Learning",2024,"International Conference on Computers in Education","","https://www.semanticscholar.org/paper/58a8ae97285219d478f39de432756055d69993c4","",30,"2025-02-19 09:41:39","JournalArticle","10.58459/icce.2024.4933","","",,,,,0,0.00,0,2,1,"This research attempts to cultivate the AI literacy of junior high sci-ml students and aims to evaluate the learning effectiveness of integrating game-based learning with problem-based learning to improve their A1 literacy. using a self- developed board game on Naive Bayes Classifier and Generative AI applications as teaching material, students engage in a problem-based learning approach through group The results of the research show a significant improvement in students' AI literacy, particularly in their understanding of AI, and a significant increase in their behavioral intentions and engagement. The results confirm the effectiveness of this pedagogical approach for promoting AI literacy at the high level.","",""
