212280	Conference proceedings	Kandlhofer, Martin\Steinbauer, Gerald\Hirschmugl-Gaisch, Sabine\Huber, Petra	Artificial intelligence and computer science in education: From kindergarten to university		2016 IEEE Frontiers in Education Conference (FIE)	2016	1-9	2016	IEEE		https://doi.org/10.1109/fie.2016.7757570						Cited By (since 2016): 180				1539-4565								Query date: 2025-02-16 14:21:42 180 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85006761114&origin=inward			10.1109/fie.2016.7757570				
110830	Journal article	Triansyah, Fadli Agus\Muhammad, Ilham\Rabuandika, Andi\Siregar, Kartika Dwi Pratiwi\Teapon, Nurhuda\Assabana, Mohammad Syahru	Bibliometric Analysis: Artificial Intelligence (AI) in High School Education		Jurnal Imiah Pendidikan dan Pembelajaran	7(1)	112-123	2023	Universitas Pendidikan Ganesha		https://doi.org/10.23887/jipp.v7i1.59718				One of the technologies that can be used in education is Artificial Intelligence (AI). Artificial intelligence (AI) is the ability of machines or computer programs to imitate or perform tasks that normally require human intelligence, such as decision-making, speech or image recognition, and problem-solving. The purpose of this research is to analyze publications related to Artificial Intelligence (AI) in Middle Schools and to describe the characteristics of this research. The method used is descriptive bibliometric analysis. The Scopus database is used to obtain the necessary data. The research results show that publications have increased from 9 in 2021 to 20 in 2020. Publications in 2010 have been cited more than any other year. China is the most influential country in this field. Most publications on Artificial Intelligence research applied to high school students are at the Q1 rank, namely 25 journals. New themes in this field are machine learning and deep learning. Artificial Intelligence has not been directly connected with some third clusters keywords such as Artificial Intelligence Literacy, computer science education, and conception.	Artificial Intelligence\Bibliometrics\High School\Scopus																10.23887/jipp.v7i1.59718				
81754	Journal article	Pearce, Kate\Alghowinem, Sharifa\Breazeal, Cynthia	Build-a-Bot: Teaching Conversational AI Using a Transformer-Based Intent Recognition and Question Answering Architecture		Proceedings of the AAAI Conference on Artificial Intelligence	37(13)	16025-16032	2023	Association for the Advancement of Artificial Intelligence (AAAI)		https://doi.org/10.1609/aaai.v37i13.26903				As artificial intelligence (AI) becomes a prominent part of modern life, AI literacy is becoming important for all citizens, not just those in technology careers. Previous research in AI education materials has largely focused on the introduction of terminology as well as AI use cases and ethics, but few allow students to learn by creating their own machine learning models. Therefore, there is a need for enriching AI educational tools with more  adaptable and flexible platforms for interested educators with any level of technical experience to utilize within their teaching material. As such, we propose the development of an open-source tool (Build-A-Bot) for students and teachers to not only create their own transformer-based chatbots based on their own course material but also learn the fundamentals of AI through the model creation process. The primary concern of this paper is the creation of an interface for students to learn the principles of artificial intelligence by using a natural language pipeline to train a customized model to answer questions based on their own school curriculums. The model uses contexts given by their instructor, such as chapters of a textbook, to answer questions and is deployed on an interactive chatbot/voice agent. The pipeline teaches students data collection, data augmentation, intent recognition, and question answering by having them work through each of these processes while creating their AI agent, diverging from previous chatbot work where students and teachers use the bots as black-boxes with no abilities for customization or the bots lack AI capabilities, with the majority of dialogue scripts being rule-based. In addition, our tool is designed to make each step of this pipeline intuitive for students at a middle-school level. Further work primarily lies in providing our tool to schools and seeking student and teacher evaluations.		Cited By (since 2023): 8												Query date: 2025-02-16 14:21:42 8 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168248935&origin=inward			10.1609/aaai.v37i13.26903				
160764	Journal article	Korean, Association For Learner-Centered Curriculum And Instruction\Kim, Ilyoung\Kim, Heera	Development of Music Content Elements and Performance Expectations to Cultivate AI Literacy		Korean Association For Learner-Centered Curriculum And Instruction	23(18)	675-689	2023	Korean Association For Learner-Centered Curriculum And Instruction		https://doi.org/10.22251/jlcci.2023.23.18.675				Objectives The purpose of this study was to develop content elements and performance expectations for integrating AI literacy with music, based on the emphasis on artificial intelligence utilization education in the revised 2022 curriculum. Methods Based on a literature review of AI literacy, this study extracted AI-related components from the “Elementary and Middle School Artificial Intelligence Education Content Standards” developed by the Ministry of Education. Subsequently, AI content elements relevant to music were identified and selected, and corresponding performance expectations for elementary and middle school levels were formulated. These content elements and performance expectations were categorized into principles and applications, aligned with the three domains of AI literacy: understanding, applying, and critiquing. Results In the “Understanding” domain, participants grasped principles related to ‘Collection and Exploration of Music Data’ and ‘Visualization and Prediction of Music Data,’ which were then applied to activities fostering an understanding of ‘Music Elements and Characteristics through AI Utilization.’ Within the “Applying” domain, principles grounded in ‘AI Advancements and Diverse Musical Applications’ were employed for activities involving ‘Performance, Creation, and Appreciation through AI-Driven Music Engagement.’ In the “Critiquing” domain, principles concerning ‘Understanding Bias and Promoting Diversity in Music Data’ and ‘Ethics and Responsible Usage of AI in Music’ were identified. This section further encapsulates content elements and performance expectations that can be utilized to comprehend broader aspects of life and careers coexisting with AI in music, extending to the ‘Copyright and Artistic Value of AI-Generated Music Works.’ Conclusions The AI literacy-enriched music content elements and performance expectations developed in this study are expected to offer insights into the future direction of curriculum development and instructional strategies within the context of AI education. These contributions are anticipated to guide the implementation of music curricula that can effectively integrate with the evolving AI education landscape, shaping the trajectory of teaching and learning.						15982106 2671776x											10.22251/jlcci.2023.23.18.675				
32248	Conference proceedings	Woodruff, Allison\Voneche, Annica Schjott\Thunstrom, Kelly\Jana, Reena\Hardy, Rebecca L.\Aoki, Derek R.\Kelley, Patrick Gage	"Discover AI in Daily Life". An AI Literacy Lesson for Middle School Students		Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 2	2	1	2022	ACM	New York, NY, USA	https://doi.org/10.1145/3545947.3576224						Cited By (since 2023): 2												Query date: 2025-02-16 14:21:42 2 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149782405&origin=inward			10.1145/3545947.3576224				
271022	Conference proceedings	Long, Duri\Rollins, Sophie\Ali-Diaz, Jasmin\Hancock, Katherine\Nuonsinoeun, Samnang\Roberts, Jessica\Magerko, Brian	Fostering AI Literacy with Embodiment & Creativity: From Activity Boxes to Museum Exhibits		Proceedings of the 22nd Annual ACM Interaction Design and Children Conference		5	2023	ACM	New York, NY, USA	https://doi.org/10.1145/3585088.3594495						Cited By (since 2023): 10												Query date: 2025-02-16 14:21:42 10 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85169100223&origin=inward			10.1145/3585088.3594495				
269383	Journal article	Wang, Xinyu\Li, Xiaomei\Huang, Jianyong	Junior High School Artificial Intelligence Literacy: Connotation, Evaluation and Promotion Strategy		Open Journal of Social Sciences	11(05)	33-49	2023	Scientific Research Publishing, Inc.		https://doi.org/10.4236/jss.2023.115004				In the junior middle school of compulsory education in China, artificial intelligence courses are being rapidly promoted to help students form artificial intelligence literacy. Then, how to define the connotation of junior high school students&#8217; artificial intelligence literacy, build a literacy evaluation framework, and provide decision support for students&#8217; information literacy level improvement is an urgent topic to be studied at present. Based on this, this study deeply analyzes the development context and connotation of artificial intelligence literacy and information literacy, and defines the connotation of literacy with emphasis on the uniqueness and independence of artificial intelligence literacy. Based on this, we design the evaluation framework of artificial intelligence literacy in junior high schools, and evaluate the artificial intelligence literacy level of junior high school students in Qingdao Artificial Intelligence Education Experimental Zone, China. The evaluation results show that the overall level of students&#8217; artificial intelligence literacy is high, but the development in four dimensions is uneven. There are significant differences in artificial intelligence literacy among junior middle school students with different gender, grade, class frequency, task cooperation frequency, learning value and goal, and self-efficacy. Finally, according to the evaluation results, this study puts forward the corresponding strategies to improve the quality of artificial intelligence.	Artificial Intelligence Literacy\Literacy Assessment\Questionnaire Survey\Students’ Literacy\Influencing Factor																10.4236/jss.2023.115004				
65329	Conference proceedings	DiPaola, Daniella\Moore, Katherine S.\Ali, Safinah\Perret, Beatriz\Zhou, Xiaofei\Zhang, Helen\Lee, Irene	Make-a-Thon for Middle School AI Educators		Proceedings of the 54th ACM Technical Symposium on Computer Science Education V. 1	1	305-311	2023	ACM	New York, NY, USA	https://doi.org/10.1145/3545945.3569743						Cited By (since 2023): 4												Query date: 2025-02-16 14:21:42 4 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149831201&origin=inward			10.1145/3545945.3569743				
186511	Conference proceedings	Ravi, Prerna\Broski, Annalisa\Stump, Glenda\Abelson, Hal\Klopfer, Eric\Breazeal, Cynthia	UNDERSTANDING TEACHER PERSPECTIVES AND EXPERIENCES AFTER DEPLOYMENT OF AI LITERACY CURRICULUM IN MIDDLE-SCHOOL CLASSROOMS		ICERI Proceedings	1	6875-6884	2023	IATED		https://doi.org/10.21125/iceri.2023.1716				UNDERSTANDING TEACHER PERSPECTIVES AND EXPERIENCES AFTER DEPLOYMENT OF AI LITERACY CURRICULUM IN MIDDLE-SCHOOL CLASSROOMS						23401095 23401109											10.21125/iceri.2023.1716				
188414	Conference proceedings	Zhou, Xiaofei\Zhou, Yushan\Gong, Yunfan\Cai, Zhenyao\Qiu, Annie\Xiao, Qinqin\Antle, Alissa N.\Bai, Zhen	"Bee and I need diversity!" Break Filter Bubbles in Recommendation Systems through Embodied AI Learning		Proceedings of the 23rd Annual ACM Interaction Design and Children Conference		44-61	2024	ACM	New York, NY, USA	https://doi.org/10.1145/3628516.3655802						Cited By (since 2024): 1												Query date: 2025-02-16 14:21:42 1 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85197883479&origin=inward			10.1145/3628516.3655802				
142953	Journal article	Lee, Chang-Kwon\Noh, Ha-Eun\Kim, Min-Jung\The, Korean Creativity Education Association	A Development study of an AI Convergence Instructional Model based on Creative Problem Solving(CPS) model for Problem Formulation Competency		Korean Society for Creativity Education	24(2)	17-43	2024	Korean Society for Creativity Education		https://doi.org/10.36358/jce.2024.24.2.17				The purpose of this study is to develop an AI Convergence instructional model to enhance problem formulation competency. To achieve this, we refer to the CT-CPS model developed for SW convergence education, based on the Creative Problem Solving (CPS) model. Additionally, research on problem discovery and understanding, Initial teaching models, design principles, and guidelines were developed by referring to studies on artificial intelligence convergence education. To validate the developed model, two rounds of expert validation were conducted with three experts in educational technology and AI-integrated education. Additionally, a class was conducted with six middle school students from a gifted education institute, where problems, solvable through a regression analysis model of supervised learning, were explored, and their responses were evaluated. The results indicate that the model can enhance problem formulation competency, AI literacy, and creative thinking skills, while also fostering knowledge in mathematics and information. The significance of this model lies in its ability to systematically design AI convergence courses for improving problem formulation competency.						1976944x											10.36358/jce.2024.24.2.17				
289516	Journal article	Shin, Bomi\Ryu, Kyoung Min\Kim, Kyeong Yong\Kang, Sungmo\Joo, Jaeeun\The, Korean School Mathematics Society	A study on exploring strategies for developing digital literacy using generative AI: Focusing on the development of mathematics teaching and learning materials based on ChatGPT		Korean School Mathematics Society	27(2)	151-176	2024	The Korean School Mathematics Society		https://doi.org/10.30807/ksms.2024.27.2.003				This study focused on the potential of generative AI in the development of digital literacy and aimed to develop ChatGPT based mathematics teaching and learning materials that can be used in middle and high school mathematics classes. To this end, we extracted “information processing and generation”, “digital problem solving”, and “digital concept formation” as components of digital literacy that can be developed in mathematics classes using generative AI, and we set the teaching and learning phases of “AI utilization,” “AI analysis,” “AI creation,” and “AI critical evaluation” in AI literacy conceptual system and then we specified the framework for developing mathematical teaching and learning materials using Generative AI for cultivating digital literacy. Based on this, we developed mathematics teaching and learning materials for “digital concept formation” and “digital problem solving” that can be used in mathematics classes dealing with trigonometric ratios for acute angles, dot products of vectors, stat- istical problem settings, and the truth and falsity of propositions. In this study, specified the framework for developing materials and teaching and learning materials can provide meaningful implications to researchers and teachers who are interested in using generative AI as a didactical instrument in mathematics classes.	생성형 AI\디지털 리터러시\ChatGPT\수학 교수·학습 자료\generative AI\digital literacy\mathematics teaching and learning materials																10.30807/ksms.2024.27.2.003				
73016	Book chapter	Ren, Fengmei\Luo, Ling	A Study on the Framework for Measuring Artificial Intelligence Literacy in Junior High School Students		Atlantis Highlights in Computer Sciences	Atlantis Highlights in Computer Sciences: Proceedings of the 2024 5th International Conference on Education, Knowledge and Information Management (ICEKIM 2024)	624-631	2024	Atlantis Press International BV	Dordrecht	https://doi.org/10.2991/978-94-6463-502-7_65										9789464635010											10.2991/978-94-6463-502-7_65				
147679	Journal article	Chai, Ching Sing\Liang, Siya\Wang, Xingwei	A survey study of chinese teachers’ continuous intentions to teach artificial intelligence		Education and Information Technologies	29(11)	14015-14034	2024	Springer Science and Business Media LLC		https://doi.org/10.1007/s10639-023-12430-z						Cited By (since 2024): 2				1360-2357								Query date: 2025-02-16 14:21:42 2 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181193805&origin=inward			10.1007/s10639-023-12430-z				
115809	Book chapter	Tseng, Ying-Jui\Yadav, Gautam\Hou, Xinying\Wu, Muzhe\Chou, Yun-Shuo\Chen, Claire Che\Wu, Chia-Chia\Chen, Shi-Gang\Lin, Yi-Jo\Liao, Guanze\Koedinger, Kenneth R.	ActiveAI: The Effectiveness of an Interactive Tutoring System in Developing K-12 AI Literacy		Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	Lecture Notes in Computer Science: Technology Enhanced Learning for Inclusive and Equitable Quality Education	452-467	2024	Springer Nature Switzerland	Cham	https://doi.org/10.1007/978-3-031-72315-5_31										9783031723148								Query date: 2025-02-16 14:21:42			10.1007/978-3-031-72315-5_31				
65496	Journal article	DiPaola, Daniella\Aidinoff, Marc\Marzilli, Angela\Berman, Ethan\Champigny, Michael\Gundy, Nate\Yezzi, Sarah\Breazeal, Cynthia	AI literacy as civic literacy: A case study of the “AI and human rights” curriculum for middle school students		First Monday	29(12)	0	2024	University of Illinois Libraries		https://doi.org/10.5210/fm.v29i12.13869				While the younger generation immerses itself in AI technologies, governmental bodies are at the initial stages of investigating the technology’s implications on our rights and how it will be best regulated. There is an opportunity to complement AI education with civic understanding. This work introduces the “AI and human rights” curriculum, which consists of seven lessons on human rights, how technology shapes our rights, and the Blueprint for an AI Bill of Rights. We summarize the experience of 50 middle school students who participated in a rights-based AI legislative simulation. Lastly, we will provide recommendations for how to engage youth in AI and human rights topics. We aim to share this work to raise awareness about the significance of AI literacy for youth citizenship while providing valuable guidance to educators and policy-makers seeking to implement similar initiatives.						1396-0466								Query date: 2025-02-16 14:21:42			10.5210/fm.v29i12.13869				
195692	Journal article	Ojeda-Ramirez, Santiago\Ritchie, Daniel\Warschauer, Mark	AI Literacy for Multilingual Learners: Storytelling, Role-playing, and Programming		The CATESOL Journal	35(1)	0	2024	California Digital Library (CDL)		https://doi.org/10.5070/b5.35861				Artificial Intelligence technologies are becoming ubiquitous, transforming the workforce by altering or creating jobs and influencing decisions that affect minority communities. The necessity of AI literacy, comprising knowledge and skills for critical interaction with AI, is increasingly important. Multilingual learners, engaging with both every day and domain-specific vocabulary and syntax, must acquire AI literacy, necessitating tailored pedagogical practices. This article outlines three strategies implemented for multilingual middle school students during a summer camp in Southern California. We argue for a mutually beneficial relationship between acquiring second language proficiency and AI literacy. Supporting these processes, we present three pedagogical strategies: (1) storytelling to model AI decision-making, (2) role-playing as an AI to demonstrate programmability and learning from data, and (3) programming text-to-speech-to-text AI to illustrate sensor functionality and action-reaction concepts. Additionally, we discuss their alignment with AI competencies. These strategies potentially foster linguistic scaffolding and translanguaging, aiding multilingual learners in acquiring new literacies.						15350517											10.5070/b5.35861				
122551	Journal article	Zhang, Helen\Lee, Irene\Moore, Katherine	An Effectiveness Study of Teacher-Led AI Literacy Curriculum in K-12 Classrooms		Proceedings of the AAAI Conference on Artificial Intelligence	38(21)	23318-23325	2024	Association for the Advancement of Artificial Intelligence (AAAI)		https://doi.org/10.1609/aaai.v38i21.30380				Artificial intelligence (AI) has rapidly pervaded and reshaped almost all walks of life, but efforts to promote AI literacy in K-12 schools remain limited. There is a knowledge gap in how to prepare teachers to teach AI literacy in inclusive classrooms and how teacher-led classroom implementations can impact students. This paper reports a comparison study to investigate the effectiveness of an AI literacy curriculum when taught by classroom teachers. The experimental group included 89 middle school students who learned an AI literacy curriculum during regular school hours. The comparison group consisted of 69 students who did not learn the curriculum. Both groups completed the same pre and post-test. The results show that students in the experimental group developed a deeper understanding of AI concepts and more positive attitudes toward AI and its impact on future careers after the curriculum than those in the comparison group. This shows that the teacher-led classroom implementation successfully equipped students with a conceptual understanding of AI. Students achieved significant gains in recognizing how AI is relevant to their lives and felt empowered to thrive in the age of AI. Overall this study confirms the potential of preparing K-12 classroom teachers to offer AI education in classrooms in order to reach learners of diverse backgrounds and broaden participation in AI literacy education among young learners.						2159-5399								Query date: 2025-02-16 14:21:42			10.1609/aaai.v38i21.30380				
203921	Journal article	Dingal, Sherly Mae L\Balbin, Christine Joyce P.\Buenafe, Symie Gel L\Buenavista, Philip Emmanuel M\Cabrera, Cherlene A\Lorica, Vianey Mae T\Olalo, Arnie M.\Pataganao, Loniecess Anthon A.\Wahing, Mary Ros A\Clamares, Krystal Joy M.\Pelandas, Anna Marie O.	Artificial Intelligence (AI) Usage and Its Influence to the Students’ Academic Writing: A Quantitative – Correlation Investigation		International Journal of Research and Innovation in Social Science	VIII(IV)	1621-1627	2024	RSIS International		https://doi.org/10.47772/ijriss.2024.804216				This study dealt with the artificial intelligence (AI) usage and its influence on students’ academic writing. The primary goal of the study was to determine the level of artificial intelligence (AI) usage and students’ academic writing in terms of their respective indicators, the significant difference between artificial intelligence (AI) usage and students’, and what domains of artificial intelligence (AI) substantially influenced students’ academic writing. Also, this study utilized a quantitative-correlational design with 335 participants among Junior High School and Senior High School students in Lorenzo S. Sarmiento Sr. National High School. The average weighted mean, Pearson R, and multiple regression analysis were the statistical tools used in this study. Along with this, the results showed a high level of artificial intelligence (AI) usage in terms of satisfaction, AI literacy, relevance of AI, and confidence. Likewise, results showed a high level of students’ academic writing in terms of usefulness, ease of use, and attitude towards usage. In addition, there was a high correlation, and a significant relationship between artificial intelligence (AI) usage and its influence on the students’ academic writing. Hence, this led to the rejection of the null hypothesis. The domains of artificial intelligence (AI) usage that influenced students’ academic writing are the relevance of AI, confidence, and AI literacy. While satisfaction, as a domain of artificial intelligence (AI) usage, had no significant influence on students’ academic writing. Thus, educational institutions could harness the positive influence of artificial intelligence (AI) on students’ academic writing, creating a more technologically advanced, collaborative, and effective learning environment while encouraging students to participate in AI-assisted activities contributing to better progress and improved self-regulated learning as they interacted with AI tools and their peers in an academic setting.						24546186											10.47772/ijriss.2024.804216				
240173	Conference proceedings	Okolo, Chinasa T.	Beyond AI Hype: A Hands-on Workshop Series for Enhancing AI Literacy in Middle and High School Students		Proceedings of the 2024 on RESPECT Annual Conference		86-93	2024	ACM	New York, NY, USA	https://doi.org/10.1145/3653666.3656075						Cited By (since 2024): 1												Query date: 2025-02-16 14:21:42 1 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85194853930&origin=inward			10.1145/3653666.3656075				
